Talker,Vowel,Token,Trial,Location,Quantity,F1,F2,F3
SW_002,oa1,6,274,20,long,323,521,3058
SW_003,oo1,1,391,50,long,464.291471929328,611,2940
SW_003,oo1,1,391,65,long,424,603,2889
SW_003,oo1,1,391,80,long,377,831,2896
SW_003,oo1,4,394,80,long,410.307757282767,661,2975
SW_003,oo1,7,397,80,long,215.227263366274,629,3274
SW_003,oo1,8,398,80,long,253,1199,2871
SW_003,{:,4,476,80,long,533.916692531421,1720.60914347293,2812
SW_003,oa1,2,494,20,long,406,590,2914
SW_003,oa1,2,494,35,long,360,503,3076
SW_005,{:,2,800,80,long,829,1918,3108
SW_006,oo1,3,941,50,long,428.899334142157,1519.46399729573,3163.1060072154
SW_006,oo1,3,941,65,long,365.73155508001,1593.5936215999,3042.11104619539
SW_006,oo1,4,942,50,long,420.917238810894,1423.25254643007,3011.31509147551
SW_006,oo1,4,942,65,long,360.058112629616,2158.80461233486,3168.07108431222
SW_006,oo1,5,943,65,long,351.624867627459,2612.86036670539,3950.01247987518
SW_006,oo1,6,944,35,long,393.542306624381,1513.86246198707,3073.41856973725
SW_006,oo1,6,944,65,long,379.433179279527,3113.48148723207,3318.68283730952
SW_006,oo1,7,945,65,long,398.639921878777,1619.83126813065,2962.87969951444
SW_006,oo1,8,946,50,long,466.945351215719,2587.43617475422,3219.87038192827
SW_006,oo1,10,948,65,long,412.765787350114,2100.9908692756,3081.35243852942
SW_006,{:,2,1019,80,long,595.554590196499,1746.449967055,2859.75804948627
SW_006,{:,5,1022,80,long,571.738221299823,1680.64086398903,2735.90050928331
SW_006,oa1,2,1039,35,long,362.766299298472,1922.52693051523,3227.09667039909
SW_006,oa1,6,1043,35,long,400.665611446223,1433.77844552662,3344.36226758153
SW_006,oa1,7,1044,20,long,370.115875282352,2148.3918037711,3552.45907952813
SW_006,oa1,10,1047,35,long,413.75355522528,2719.4321269511,3635.46817287907
SW_007,oo1,3,1160,65,long,365.586964455734,723,2661
SW_007,oo1,4,1161,65,long,340,609,2630
SW_007,oo1,5,1162,65,long,306.509903510878,671,2877.38664600998
SW_007,oo1,5,1162,80,long,301.323853135032,891,3013.85906462697
SW_007,{:,1,1238,65,long,747,1621.83406736541,3089
SW_007,{:,2,1239,80,long,649,1684,2742
SW_007,{:,4,1241,80,long,606,1653.91358930941,2600.71776522248
SW_007,{:,5,1242,35,long,585,1464,2800
SW_007,{:,5,1242,80,long,654,1654,2792
SW_007,{:,6,1243,35,long,273.883055516541,1492.58425093628,2599.34791461213
SW_007,{:,6,1243,50,long,492.172349974872,1541.74557768886,2771.31535721347
SW_007,{:,6,1243,65,long,280.076382390097,1633.21490288718,2800.71762953669
SW_007,{:,6,1243,80,long,196.954662689353,1735.32554222164,2608.46726925613
SW_007,{:,7,1244,20,long,425.377868568253,1518.31193787688,2681.81467245488
SW_007,{:,7,1244,35,long,397.017119661716,1530.39777223486,2666.53889083124
SW_007,{:,7,1244,50,long,306.806816528528,1555.67905623294,2543.17718209324
SW_007,{:,7,1244,65,long,245.931003705805,1531.76952751902,2070.43328150732
SW_007,{:,7,1244,80,long,224.309486742291,1551.47912896022,2355.38203401412
SW_007,{:,8,1245,20,long,269.484969643738,1585.11741555684,2668.28623464358
SW_007,{:,8,1245,35,long,304.774040301561,1578.45446247797,2754.35186410862
SW_007,{:,8,1245,50,long,298.081746905059,1502.49247249668,3107.94561770132
SW_007,{:,8,1245,65,long,239.001,1645.066,2756.75334221137
SW_007,{:,8,1245,80,long,233.85270806027,1642.62125999775,2258.5931456236
SW_007,{:,9,1246,50,long,405.858820563738,1538.40026486625,2755.12719978935
SW_007,{:,9,1246,65,long,302.151779524845,1580.80962982749,2489.78111713547
SW_007,{:,9,1246,80,long,279.471714459589,1542.40628944892,2420.29440501749
SW_007,{:,10,1247,50,long,575.533152317205,1562.02609355405,2775.01708724473
SW_007,{:,10,1247,65,long,161.493586280801,1623.41186087678,2805.69388038573
SW_007,{:,10,1247,80,long,170.390138635334,1635.16875980671,2694.62829260681
SW_007,oa1,9,1266,80,long,419,1463.27509855359,3426.72900541448
SW_008,oo1,3,1350,20,long,449.673154514651,630,2481
SW_008,{:,3,1390,80,long,779,1815,2720
SW_010,oo1,2,1568,35,long,377.32278725158,515,2905
SW_010,oo1,3,1569,65,long,324.907278665241,604,2856
SW_010,oo1,3,1569,80,long,377,1052,2858
SW_010,oo1,4,1570,50,long,370.149217669749,796,2677
SW_010,{:,3,1609,65,long,805,1630,2853
SW_010,oa1,1,1617,50,long,350,527,3095
SW_011,oo1,10,1716,65,long,452.366103020393,706,3234
SW_012,oo1,1,1927,35,long,464,748,2946
SW_012,oo1,1,1927,50,long,489.958077424916,671,2998
SW_012,oo1,2,1928,50,long,438,748,2997
SW_012,oo1,4,1930,65,long,371,697,3088.95047208025
SW_012,oo1,4,1930,80,long,428.956012140467,1059,3086.88326330978
SW_012,oo1,5,1931,50,long,397,649,2842
SW_012,oo1,5,1931,80,long,434.88666769635,1303,2961
SW_012,oo1,6,1932,50,long,364,652,3022
SW_012,oo1,7,1933,50,long,345,649,2449
SW_012,oo1,7,1933,65,long,412,723,3023
SW_012,oo1,7,1933,80,long,445,1293,2997
SW_012,oo1,8,1934,80,long,435.680565128875,1428,2821
SW_012,oo1,9,1935,20,long,309,619,3075
SW_012,oo1,9,1935,50,long,475.188400395359,644,3049
SW_012,oo1,9,1935,80,long,439.712124069811,1276,2735
SW_012,oo1,10,1936,50,long,478.440969583606,756,2868
SW_012,oa1,2,2028,35,long,328,538,2937
SW_012,oa1,2,2028,50,long,339,593,2816
SW_012,oa1,3,2029,20,long,335,567,2584
SW_012,oa1,3,2029,35,long,438,671,2584
SW_012,oa1,3,2029,50,long,502.519360700914,645,2584
SW_012,oa1,6,2032,50,long,361,621,2376
SW_012,oa1,7,2033,50,long,309,534,2946
SW_012,oa1,8,2034,50,long,308,515,2991
